System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		23984	33412	1366000
Col 359 Sector RX-R c5-3	Pranav Antal	FORTIFIED		85886	625223	413000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		1878	3028	525000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		395356	364283	496000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		3891	9345	417000
Col 359 Sector QX-R c5-7	Pranav Antal	EXPLOITED		330093	39907	94000
Col 359 Sector QX-R c5-8	Pranav Antal	EXPLOITED		352096	287070	244000
Col 359 Sector QX-R c5-10	Pranav Antal	EXPLOITED		26591	48461	0
Col 359 Sector QX-R c5-13	Pranav Antal	Yuri Grom		20519	22197	
Col 359 Sector RX-R c5-1	Denton Patreus	FORTIFIED		246463	786988	684000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		16436	25326	395000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		113391	229823	1516000
Col 359 Sector CE-N b9-1	Aisling Duval	FORTIFIED		56185	162620	645000
Col 359 Sector KW-V d2-20	Aisling Duval	EXPLOITED		14377	108206	219000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		26844	21247	71000
Col 359 Sector RX-R c5-16	Arissa Lavigny-Duval	Aisling Duval		18845	30955	
Col 359 Sector KW-V d2-16	Yuri Grom	Arissa Lavigny-Duval		609630	637341	
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		14767	45589	442000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		695	45763	92000
Col 359 Sector YI-N b9-4	Yuri Grom	Arissa Lavigny-Duval		11166	186192	
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		168664	300741	1994000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		642	29699	460000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		6348	19586	45000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		26815	42960	0
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	EXPLOITED		44618	262732	215000
Col 359 Sector FK-L b10-4	Nakato Kaine	EXPLOITED		1487	8122	12000
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		98685	102461	431000
Col 359 Sector FK-L b10-1	Denton Patreus	EXPLOITED		85570	115211	0
Col 359 Sector FK-L b10-3	Aisling Duval	EXPLOITED		23291	79922	0
Col 359 Sector FK-L b10-0	Nakato Kaine	EXPLOITED		238580	314341	115000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		519	13828	8000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		7003	18542	61000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		5878	22350	143000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		8027	35194	36000
Col 359 Sector DP-L b10-3	Arissa Lavigny-Duval	Aisling Duval		8210	39157	
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		370115	365195	1121000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		1097	9716	18000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		8413	10223	12000
Col 359 Sector KW-V d2-17	Yuri Grom	EXPLOITED		1422	18025	28000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	EXPLOITED		31945	121570	349000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		151295	141999	110000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		26753	82307	475000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		402	38087	1210000
Col 359 Sector AE-N b9-1	Yuri Grom	Nakato Kaine		29646	48057	
Col 359 Sector YI-N b9-5	Yuri Grom	EXPLOITED		4333	39638	0
Col 359 Sector NR-T c4-13	Aisling Duval	EXPLOITED		2751	4978	51000
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		6138	27154	63000
Col 359 Sector AE-N b9-0	Yuri Grom	FORTIFIED		10602	424868	406000
Col 359 Sector AE-N b9-3	Yuri Grom	EXPLOITED		1693	10952	0
