System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		26590	37721	1382000
Col 359 Sector RX-R c5-3	Pranav Antal	STRONGHOLD		29081	32703	1177000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		4815	6068	525000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		312830	317780	504000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		2057	3023	421000
Col 359 Sector QX-R c5-7	Pranav Antal	EXPLOITED		12593	56409	102000
Col 359 Sector QX-R c5-8	Pranav Antal	EXPLOITED		358336	413136	298000
Col 359 Sector QX-R c5-10	Pranav Antal	EXPLOITED		482354	680360	47000
Col 359 Sector QX-R c5-13	Pranav Antal	EXPLOITED		47672	127263	0
Col 359 Sector RX-R c5-16	Pranav Antal	EXPLOITED		243399	334936	0
Col 359 Sector RX-R c5-1	Denton Patreus	STRONGHOLD		356910	438432	1210000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		4514	23773	406000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		121174	159020	1661000
Col 359 Sector CE-N b9-1	Aisling Duval	FORTIFIED		49587	84095	764000
Col 359 Sector KW-V d2-20	Aisling Duval	FORTIFIED		630	22508	355000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		2935	11209	69000
Col 359 Sector KW-V d2-16	Yuri Grom	EXPLOITED		16884	49836	0
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		6006	23666	475000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		4898	29192	139000
Col 359 Sector YI-N b9-4	Yuri Grom	EXPLOITED		130	9910	0
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		157172	157479	1994000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		131	29912	489000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		1228	15947	63000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		118	5841	18000
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	FORTIFIED		9528	84804	417000
Col 359 Sector FK-L b10-4	Arissa Lavigny-Duval	Nakato Kaine		28914	46849	
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		6220	69104	475000
Col 359 Sector FK-L b10-1	Denton Patreus	EXPLOITED		75314	392346	45000
Col 359 Sector FK-L b10-3	Aisling Duval	EXPLOITED		96562	112777	49000
Col 359 Sector FK-L b10-0	Nakato Kaine	EXPLOITED		264409	298078	207000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		9092	15558	20000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		491	31910	74000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		5901	54970	158000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		0	14620	63000
Col 359 Sector DP-L b10-3	Aisling Duval	EXPLOITED		629	29729	0
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		100900	122283	1143000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		10334	12451	10000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		6870	8643	16000
Col 359 Sector KW-V d2-17	Yuri Grom	EXPLOITED		18614	130274	45000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	FORTIFIED		5206	18494	457000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		159322	205475	189000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		3323	23608	536000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		0	16101	1255000
Col 359 Sector AE-N b9-1	Yuri Grom	Nakato Kaine		29877	99410	
Col 359 Sector YI-N b9-5	Yuri Grom	EXPLOITED		2017	30694	37000
Col 359 Sector NR-T c4-13	Aisling Duval	EXPLOITED		470	704	53000
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		166	12799	90000
Col 359 Sector AE-N b9-0	Yuri Grom	FORTIFIED		108392	224060	974000
Col 359 Sector AE-N b9-3	Yuri Grom	EXPLOITED		361	11149	12000
