System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		26590	28585	1382000
Col 359 Sector RX-R c5-3	Pranav Antal	STRONGHOLD		27530	15311	1177000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		4797	5603	525000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		176505	165794	504000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		1083	2432	421000
Col 359 Sector QX-R c5-7	Pranav Antal	EXPLOITED		12593	38011	102000
Col 359 Sector QX-R c5-8	Pranav Antal	EXPLOITED		254406	243495	298000
Col 359 Sector QX-R c5-10	Pranav Antal	EXPLOITED		144392	416971	47000
Col 359 Sector QX-R c5-13	Pranav Antal	EXPLOITED		47672	127263	0
Col 359 Sector RX-R c5-16	Pranav Antal	EXPLOITED		152798	244762	0
Col 359 Sector RX-R c5-1	Denton Patreus	STRONGHOLD		285586	348467	1210000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		3302	21387	406000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		115152	135172	1661000
Col 359 Sector CE-N b9-1	Aisling Duval	FORTIFIED		49520	75043	764000
Col 359 Sector KW-V d2-20	Aisling Duval	FORTIFIED		598	18038	355000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		2891	5425	69000
Col 359 Sector KW-V d2-16	Yuri Grom	EXPLOITED		12762	49589	0
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		4687	16305	475000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		4247	28528	139000
Col 359 Sector YI-N b9-4	Yuri Grom	EXPLOITED		130	5761	0
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		157172	127909	1994000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		16	2992	493000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		1114	10926	63000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		69	5435	18000
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	FORTIFIED		4156	48359	417000
Col 359 Sector FK-L b10-4	Arissa Lavigny-Duval	Nakato Kaine		15964	17384	
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		6104	64878	475000
Col 359 Sector FK-L b10-1	Denton Patreus	EXPLOITED		51707	210877	45000
Col 359 Sector FK-L b10-3	Aisling Duval	EXPLOITED		52750	60827	49000
Col 359 Sector FK-L b10-0	Nakato Kaine	EXPLOITED		124836	117429	207000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		4246	8979	20000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		36	31689	74000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		5891	52708	158000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		0	13553	63000
Col 359 Sector DP-L b10-3	Aisling Duval	EXPLOITED		629	27316	0
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		80489	106193	1143000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		3651	12298	10000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		3346	8643	16000
Col 359 Sector KW-V d2-17	Yuri Grom	EXPLOITED		9254	6880	45000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	FORTIFIED		4998	10465	457000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		104988	89371	189000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		3287	21765	536000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		0	12649	1255000
Col 359 Sector AE-N b9-1	Yuri Grom	Nakato Kaine		29877	64218	
Col 359 Sector YI-N b9-5	Yuri Grom	EXPLOITED		2017	29577	37000
Col 359 Sector NR-T c4-13	Aisling Duval	EXPLOITED		341	642	53000
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		166	10267	90000
Col 359 Sector AE-N b9-0	Yuri Grom	FORTIFIED		93350	216630	974000
Col 359 Sector AE-N b9-3	Yuri Grom	EXPLOITED		353	469	12000
