2026-02-10 20:21 UTC
System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		35299	8916	1416000
Col 359 Sector RX-R c5-3	Pranav Antal	STRONGHOLD		6321	2438	1182000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		10676	23007	558000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		31800	17195	695000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		97631	78686	435000
Col 359 Sector QX-R c5-7	Pranav Antal	FORTIFIED		17639	16636	417000
Col 359 Sector QX-R c5-8	Pranav Antal	FORTIFIED		4108	96437	511000
Col 359 Sector QX-R c5-10	Pranav Antal	FORTIFIED		1305	1510	417000
Col 359 Sector QX-R c5-13	Pranav Antal	FORTIFIED		3360	1161	435000
Col 359 Sector RX-R c5-16	Pranav Antal	FORTIFIED		71038	74935	406000
Col 359 Sector NR-T c4-13	Pranav Antal	EXPLOITED		400642	20233	337000
Col 359 Sector DP-L b10-3	Pranav Antal	FORTIFIED		2530	2365	417000
Col 359 Sector RX-R c5-1	Denton Patreus	FORTIFIED		149395	226822	930000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		28317	4287	468000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		142901	131811	1911000
Col 359 Sector CE-N b9-1	Aisling Duval	STRONGHOLD		0	5827	1076000
Col 359 Sector KW-V d2-20	Aisling Duval	FORTIFIED		265	5937	439000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		180	96	67000
Col 359 Sector KW-V d2-16	Yuri Grom	FORTIFIED		810	847	399000
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		332	4353	511000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		14478	14755	261000
Col 359 Sector YI-N b9-4	Yuri Grom	EXPLOITED		6775	7993	170000
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		135537	32830	1905000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		4792	5897	543000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		1241	2224	104000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		1808	4298	110000
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	FORTIFIED		32707	356474	706000
Col 359 Sector FK-L b10-4	Nakato Kaine	EXPLOITED		52209	53387	178000
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		51848	64862	590000
Col 359 Sector FK-L b10-1	Denton Patreus	EXPLOITED		225795	273056	320000
Col 359 Sector FK-L b10-3	Aisling Duval	FORTIFIED		2179	15270	413000
Col 359 Sector FK-L b10-0	Nakato Kaine	FORTIFIED		20356	31302	366000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		109861	98776	47000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		15992	13382	108000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		12710	19353	240000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		1019	3485	100000
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		303	16835	1154000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		2275	14894	47000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		182	542	43000
Col 359 Sector KW-V d2-17	Yuri Grom	FORTIFIED		139	4295	421000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	FORTIFIED		1451	3217	493000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		105050	116130	283000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		14486	151296	598000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		39476	44914	1449000
Col 359 Sector AE-N b9-1	Yuri Grom	FORTIFIED		176	5588	431000
Col 359 Sector YI-N b9-5	Yuri Grom	FORTIFIED		791	1385	471000
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		6642	74798	166000
Col 359 Sector AE-N b9-0	Yuri Grom	STRONGHOLD		17792	13052	1232000
Col 359 Sector AE-N b9-3	Yuri Grom	FORTIFIED		0	890	478000
