32 minutes ago
System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		29281	10481	1394000
Col 359 Sector RX-R c5-3	Pranav Antal	STRONGHOLD		734	997	1177000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		2032	5172	529000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		23053	12267	515000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		136	2370	424000
Col 359 Sector QX-R c5-7	Pranav Antal	EXPLOITED		4758	144314	147000
Col 359 Sector QX-R c5-8	Pranav Antal	FORTIFIED		13360	39714	460000
Col 359 Sector QX-R c5-10	Pranav Antal	EXPLOITED		58393	221038	258000
Col 359 Sector QX-R c5-13	Pranav Antal				4359	
Col 359 Sector RX-R c5-16	Pranav Antal	EXPLOITED		15698	62594	80000
Col 359 Sector RX-R c5-1	Denton Patreus	STRONGHOLD		50237	71483	1305000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		136	4293	428000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		107447	99981	1700000
Col 359 Sector CE-N b9-1	Aisling Duval	FORTIFIED		50763	90419	800000
Col 359 Sector KW-V d2-20	Aisling Duval	FORTIFIED		103	17002	366000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		1843	281	76000
Col 359 Sector KW-V d2-16	Yuri Grom	EXPLOITED		1573	22055	34000
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		1316	5838	489000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		6350	15917	164000
Col 359 Sector YI-N b9-4	Yuri Grom	EXPLOITED		0	601	10000
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		156250	40216	1994000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		1153	7612	522000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		1	11664	76000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		565	1765	22000
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	FORTIFIED		455	16132	504000
Col 359 Sector FK-L b10-4	Arissa Lavigny-Duval	Nakato Kaine		103505	232120	
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		3921	11789	540000
Col 359 Sector FK-L b10-1	Denton Patreus	FORTIFIED		14833	58070	388000
Col 359 Sector FK-L b10-3	Aisling Duval	EXPLOITED		11959	128362	78000
Col 359 Sector FK-L b10-0	Nakato Kaine	EXPLOITED		41311	122009	234000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		317	1757	36000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		1496	2228	104000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		10176	16935	209000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		146	3348	76000
Col 359 Sector DP-L b10-3	Aisling Duval	Nakato Kaine		1027	12975	
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		150	7221	1166000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		5695	4814	10000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		1050	1941	12000
Col 359 Sector KW-V d2-17	Yuri Grom	EXPLOITED		15374	150916	162000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	FORTIFIED		543	8288	471000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		28350	34586	226000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		6987	9124	558000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		3250	6267	1271000
Col 359 Sector AE-N b9-1	Yuri Grom	EXPLOITED		0	24939	0
Col 359 Sector YI-N b9-5	Yuri Grom	EXPLOITED		568	2052	65000
Col 359 Sector NR-T c4-13	Aisling Duval	Yuri Grom		2443	17401	
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		1719	4478	108000
Col 359 Sector AE-N b9-0	Yuri Grom	STRONGHOLD		11169	7464	1093000
Col 359 Sector AE-N b9-3	Yuri Grom	EXPLOITED		8	72	22000
