System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		26590	35660	1382000
Col 359 Sector RX-R c5-3	Pranav Antal	STRONGHOLD		27923	23212	1177000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		4815	5618	525000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		258005	185215	504000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		1417	2729	421000
Col 359 Sector QX-R c5-7	Pranav Antal	EXPLOITED		12593	51760	102000
Col 359 Sector QX-R c5-8	Pranav Antal	EXPLOITED		312974	396501	298000
Col 359 Sector QX-R c5-10	Pranav Antal	EXPLOITED		239375	489807	47000
Col 359 Sector QX-R c5-13	Pranav Antal	EXPLOITED		47672	127263	0
Col 359 Sector RX-R c5-16	Pranav Antal	EXPLOITED		181175	247442	0
Col 359 Sector RX-R c5-1	Denton Patreus	STRONGHOLD		318356	412339	1210000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		3565	23748	406000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		117054	146262	1661000
Col 359 Sector CE-N b9-1	Aisling Duval	FORTIFIED		49587	82539	764000
Col 359 Sector KW-V d2-20	Aisling Duval	FORTIFIED		630	20317	355000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		2935	9735	69000
Col 359 Sector KW-V d2-16	Yuri Grom	EXPLOITED		16362	49645	0
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		4807	21181	475000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		4247	29165	139000
Col 359 Sector YI-N b9-4	Yuri Grom	EXPLOITED		130	8482	0
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		157172	146775	1994000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		131	3484	493000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		1228	15017	63000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		118	5440	18000
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	FORTIFIED		4350	70837	417000
Col 359 Sector FK-L b10-4	Arissa Lavigny-Duval	Nakato Kaine		20803	32666	
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		6220	66486	475000
Col 359 Sector FK-L b10-1	Denton Patreus	EXPLOITED		65251	295531	45000
Col 359 Sector FK-L b10-3	Aisling Duval	EXPLOITED		61425	67666	49000
Col 359 Sector FK-L b10-0	Nakato Kaine	EXPLOITED		207777	198904	207000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		9030	9045	20000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		377	31910	74000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		5901	54907	158000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		0	13656	63000
Col 359 Sector DP-L b10-3	Aisling Duval	EXPLOITED		629	28714	0
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		87122	113614	1143000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		3651	12340	10000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		3457	8643	16000
Col 359 Sector KW-V d2-17	Yuri Grom	EXPLOITED		15125	95193	45000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	FORTIFIED		4998	14141	457000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		130417	122627	189000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		3287	22572	536000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		0	13559	1255000
Col 359 Sector AE-N b9-1	Yuri Grom	Nakato Kaine		29877	76278	
Col 359 Sector YI-N b9-5	Yuri Grom	EXPLOITED		2017	29943	37000
Col 359 Sector NR-T c4-13	Aisling Duval	EXPLOITED		341	642	53000
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		166	10387	90000
Col 359 Sector AE-N b9-0	Yuri Grom	FORTIFIED		99379	219847	974000
Col 359 Sector AE-N b9-3	Yuri Grom	EXPLOITED		361	1654	12000
