41 minutes ago
System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		29281	8627	1394000
Col 359 Sector RX-R c5-3	Pranav Antal	STRONGHOLD		676	997	1177000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		2032	3893	529000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		18690	6498	515000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		136	2370	424000
Col 359 Sector QX-R c5-7	Pranav Antal	EXPLOITED		4758	142937	147000
Col 359 Sector QX-R c5-8	Pranav Antal	FORTIFIED		7817	39704	460000
Col 359 Sector QX-R c5-10	Pranav Antal	EXPLOITED		53265	220651	258000
Col 359 Sector QX-R c5-13	Pranav Antal				2092	
Col 359 Sector RX-R c5-16	Pranav Antal	EXPLOITED		11988	62464	80000
Col 359 Sector RX-R c5-1	Denton Patreus	STRONGHOLD		45475	62056	1305000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		135	4232	428000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		100649	55585	1700000
Col 359 Sector CE-N b9-1	Aisling Duval	FORTIFIED		50763	36413	800000
Col 359 Sector KW-V d2-20	Aisling Duval	FORTIFIED		103	16220	366000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		1335	0	76000
Col 359 Sector KW-V d2-16	Yuri Grom	EXPLOITED		1132	21123	34000
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		1316	5561	489000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		6350	15623	164000
Col 359 Sector YI-N b9-4	Yuri Grom	EXPLOITED		0	457	10000
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		156250	29938	1994000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		1117	5697	522000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		1	11664	76000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		565	0	22000
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	FORTIFIED		261	13428	504000
Col 359 Sector FK-L b10-4	Arissa Lavigny-Duval	Nakato Kaine		78696	196799	
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		3912	11048	540000
Col 359 Sector FK-L b10-1	Denton Patreus	FORTIFIED		6614	53721	388000
Col 359 Sector FK-L b10-3	Aisling Duval	EXPLOITED		10520	73606	78000
Col 359 Sector FK-L b10-0	Nakato Kaine	EXPLOITED		24367	107867	234000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		317	1757	36000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		1496	2207	104000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		10176	12874	209000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		146	1765	76000
Col 359 Sector DP-L b10-3	Aisling Duval	Pranav Antal		936	12448	
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		150	5396	1166000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		3491	4814	10000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		1050	1941	12000
Col 359 Sector KW-V d2-17	Yuri Grom	EXPLOITED		14781	120401	162000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	FORTIFIED		184	7503	471000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		16160	34348	226000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		6987	9124	558000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		3250	4162	1271000
Col 359 Sector AE-N b9-1	Yuri Grom	EXPLOITED		0	22985	0
Col 359 Sector YI-N b9-5	Yuri Grom	EXPLOITED		568	0	65000
Col 359 Sector NR-T c4-13	Aisling Duval	Yuri Grom		2443	15998	
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		1719	4442	108000
Col 359 Sector AE-N b9-0	Yuri Grom	STRONGHOLD		2068	4041	1093000
Col 359 Sector AE-N b9-3	Yuri Grom	EXPLOITED		0	72	22000
