System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector RX-R c5-1	Denton Patreus	FORTIFIED		156810	530385	684000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		3418	22681	395000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		94550	181218	1516000
Col 359 Sector CE-N b9-1	Aisling Duval	FORTIFIED		45338	127820	645000
Col 359 Sector KW-V d2-20	Aisling Duval	EXPLOITED		13031	86980	219000
Col 359 Sector RX-R c5-3	Pranav Antal	FORTIFIED		28341	338080	413000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		3534	2788	71000
Col 359 Sector RX-R c5-16	Arissa Lavigny-Duval	Aisling Duval		16325	25471	
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		3798	8320	417000
Col 359 Sector KW-V d2-16	Archon Delaine	EXPLOITED		0	0	0
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		10684	38455	442000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		451	38611	92000
Col 359 Sector YI-N b9-4	Yuri Grom	Arissa Lavigny-Duval		10641	1383261	
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		168312	265662	1994000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		642	23608	460000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		519	8281	45000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		21758	35343	0
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	EXPLOITED		35799	246629	215000
Col 359 Sector FK-L b10-4	Nakato Kaine	EXPLOITED		885	6252	12000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		1833	2556	525000
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		67788	79765	431000
Col 359 Sector QX-R c5-10	Pranav Antal	EXPLOITED		12183	13751	0
Col 359 Sector FK-L b10-1	Denton Patreus	EXPLOITED		68323	99826	0
Col 359 Sector FK-L b10-3	Aisling Duval	EXPLOITED		16834	66500	0
Col 359 Sector FK-L b10-0	Nakato Kaine	EXPLOITED		171230	200974	115000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		519	12485	8000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		4597	13340	61000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		4751	19917	143000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		8027	33766	36000
Col 359 Sector DP-L b10-3	Arissa Lavigny-Duval	Aisling Duval		6629	31521	
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		293596	278709	496000
Col 359 Sector QX-R c5-13	Pranav Antal	Yuri Grom		3153	15754	
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		254260	270527	1121000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		1092	9462	18000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		1734	6246	12000
Col 359 Sector KW-V d2-17	Yuri Grom	EXPLOITED		1334	15519	28000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	EXPLOITED		29869	98172	349000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		96740	123105	110000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		20799	72158	475000
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		23328	23803	1366000
Col 359 Sector QX-R c5-7	Pranav Antal	EXPLOITED		24501	24204	94000
Col 359 Sector QX-R c5-8	Pranav Antal	EXPLOITED		187732	150334	244000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		402	31310	1210000
Col 359 Sector AE-N b9-1	Yuri Grom	Nakato Kaine		22896	30829	
Col 359 Sector YI-N b9-5	Yuri Grom	EXPLOITED		4261	28216	0
Col 359 Sector NR-T c4-13	Aisling Duval	EXPLOITED		2041	4617	51000
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		4994	23833	63000
Col 359 Sector AE-N b9-0	Yuri Grom	FORTIFIED		10589	271634	406000
Col 359 Sector AE-N b9-3	Yuri Grom	EXPLOITED		781	8985	0
