System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		26365	1704	1382000
Col 359 Sector RX-R c5-3	Pranav Antal	STRONGHOLD		3214	2031	1177000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		1827	1518	525000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		16359	3235	504000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		0	125	421000
Col 359 Sector QX-R c5-7	Pranav Antal	EXPLOITED		1108	1335	102000
Col 359 Sector QX-R c5-8	Pranav Antal	EXPLOITED		27944	48060	298000
Col 359 Sector QX-R c5-10	Pranav Antal	EXPLOITED		744	555	47000
Col 359 Sector QX-R c5-13	Pranav Antal	EXPLOITED		0	1774	0
Col 359 Sector RX-R c5-1	Denton Patreus	STRONGHOLD		6809	2250	1210000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		187	84	406000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		86037	16055	1661000
Col 359 Sector CE-N b9-1	Aisling Duval	FORTIFIED		43235	3819	764000
Col 359 Sector KW-V d2-20	Aisling Duval	FORTIFIED		212	1747	355000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		304	76	69000
Col 359 Sector RX-R c5-16	Pranav Antal	EXPLOITED		957	12343	0
Col 359 Sector KW-V d2-16	Yuri Grom	EXPLOITED		1867	3221	0
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		0	182	475000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		4225	12572	139000
Col 359 Sector YI-N b9-4	Yuri Grom	EXPLOITED		0	0	0
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		157050	21681	1994000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		5	141	493000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		1114	0	63000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		0	0	18000
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	FORTIFIED		184	4206	417000
Col 359 Sector FK-L b10-4	Arissa Lavigny-Duval	Aisling Duval		636	1021	
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		1527	3485	475000
Col 359 Sector FK-L b10-1	Denton Patreus	EXPLOITED		373	60	45000
Col 359 Sector FK-L b10-3	Aisling Duval	EXPLOITED		440	831	49000
Col 359 Sector FK-L b10-0	Nakato Kaine	EXPLOITED		16772	21769	207000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		0	111	20000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		0	0	74000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		5881	6228	158000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		0	0	63000
Col 359 Sector DP-L b10-3	Aisling Duval	EXPLOITED		94	68	0
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		5480	8949	1143000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		0	5	10000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		0	0	18000
Col 359 Sector KW-V d2-17	Yuri Grom	EXPLOITED		0	0	45000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	FORTIFIED		463	918	457000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		12417	9391	189000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		3224	1248	536000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		505	505	1255000
Col 359 Sector AE-N b9-1	Yuri Grom	Nakato Kaine		29646	51914	
Col 359 Sector YI-N b9-5	Yuri Grom	EXPLOITED		0	0	37000
Col 359 Sector NR-T c4-13	Aisling Duval	EXPLOITED		43	225	53000
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		141	2122	90000
Col 359 Sector AE-N b9-0	Yuri Grom	FORTIFIED		78292	11626	974000
Col 359 Sector AE-N b9-3	Yuri Grom	EXPLOITED		0	16	12000
