System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		26365	5566	1382000
Col 359 Sector RX-R c5-3	Pranav Antal	STRONGHOLD		4170	3647	1177000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		4750	3963	525000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		28552	17585	504000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		1058	346	421000
Col 359 Sector QX-R c5-7	Pranav Antal	EXPLOITED		12562	4359	102000
Col 359 Sector QX-R c5-8	Pranav Antal	EXPLOITED		43408	96771	298000
Col 359 Sector QX-R c5-10	Pranav Antal	EXPLOITED		15824	26053	47000
Col 359 Sector QX-R c5-13	Pranav Antal	EXPLOITED		23977	78818	0
Col 359 Sector RX-R c5-1	Denton Patreus	STRONGHOLD		45305	4214	1210000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		187	336	406000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		90653	31415	1661000
Col 359 Sector CE-N b9-1	Aisling Duval	FORTIFIED		43258	16395	764000
Col 359 Sector KW-V d2-20	Aisling Duval	FORTIFIED		212	5006	355000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		503	1778	69000
Col 359 Sector RX-R c5-16	Pranav Antal	EXPLOITED		12640	95866	0
Col 359 Sector KW-V d2-16	Yuri Grom	EXPLOITED		4135	16656	0
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		1621	1386	475000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		4225	21744	139000
Col 359 Sector YI-N b9-4	Yuri Grom	EXPLOITED		54	428	0
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		157050	55747	1994000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		5	342	493000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		1114	809	63000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		0	1305	18000
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	FORTIFIED		452	11844	417000
Col 359 Sector FK-L b10-4	Arissa Lavigny-Duval	Pranav Antal		1860	8805	
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		3060	49676	475000
Col 359 Sector FK-L b10-1	Denton Patreus	EXPLOITED		5303	42194	45000
Col 359 Sector FK-L b10-3	Aisling Duval	EXPLOITED		8740	2470	49000
Col 359 Sector FK-L b10-0	Nakato Kaine	EXPLOITED		50403	68011	207000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		202	141	20000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		0	143	74000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		5891	43919	158000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		0	343	63000
Col 359 Sector DP-L b10-3	Aisling Duval	EXPLOITED		179	5386	0
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		20053	19002	1143000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		406	5	10000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		2930	5	18000
Col 359 Sector KW-V d2-17	Yuri Grom	EXPLOITED		0	0	45000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	FORTIFIED		701	3716	457000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		15051	33026	189000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		3224	9823	536000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		0	3398	1255000
Col 359 Sector AE-N b9-1	Yuri Grom	Nakato Kaine		29646	52181	
Col 359 Sector YI-N b9-5	Yuri Grom	EXPLOITED		1698	0	37000
Col 359 Sector NR-T c4-13	Aisling Duval	EXPLOITED		55	225	53000
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		141	3270	90000
Col 359 Sector AE-N b9-0	Yuri Grom	FORTIFIED		79100	74559	977000
Col 359 Sector AE-N b9-3	Yuri Grom	EXPLOITED		0	26	12000
