93 minutes ago
System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		29281	9635	1394000
Col 359 Sector RX-R c5-3	Pranav Antal	STRONGHOLD		676	997	1177000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		2032	5172	529000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		18690	7104	515000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		136	2370	424000
Col 359 Sector QX-R c5-7	Pranav Antal	EXPLOITED		4758	144161	147000
Col 359 Sector QX-R c5-8	Pranav Antal	FORTIFIED		9266	39714	460000
Col 359 Sector QX-R c5-10	Pranav Antal	EXPLOITED		53265	220651	258000
Col 359 Sector QX-R c5-13	Pranav Antal				2092	
Col 359 Sector RX-R c5-16	Pranav Antal	EXPLOITED		15494	62464	80000
Col 359 Sector RX-R c5-1	Denton Patreus	STRONGHOLD		46543	62061	1305000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		135	4232	428000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		100689	64558	1700000
Col 359 Sector CE-N b9-1	Aisling Duval	FORTIFIED		50763	41643	800000
Col 359 Sector KW-V d2-20	Aisling Duval	FORTIFIED		103	16685	366000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		1335	0	76000
Col 359 Sector KW-V d2-16	Yuri Grom	EXPLOITED		1132	21123	34000
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		1316	5561	489000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		6350	15724	164000
Col 359 Sector YI-N b9-4	Yuri Grom	EXPLOITED		0	601	10000
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		156250	31387	1994000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		1117	5697	522000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		1	11664	76000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		565	0	22000
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	FORTIFIED		261	13433	504000
Col 359 Sector FK-L b10-4	Arissa Lavigny-Duval	Nakato Kaine		80605	203691	
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		3912	11215	540000
Col 359 Sector FK-L b10-1	Denton Patreus	FORTIFIED		9727	53796	388000
Col 359 Sector FK-L b10-3	Aisling Duval	EXPLOITED		11340	82651	78000
Col 359 Sector FK-L b10-0	Nakato Kaine	EXPLOITED		32160	107867	234000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		317	1757	36000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		1496	2207	104000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		10176	15179	209000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		146	1765	76000
Col 359 Sector DP-L b10-3	Aisling Duval	Nakato Kaine		1027	12448	
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		150	5924	1166000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		3491	4814	10000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		1050	1941	12000
Col 359 Sector KW-V d2-17	Yuri Grom	EXPLOITED		14781	121698	162000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	FORTIFIED		206	7503	471000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		16160	34383	226000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		6987	9124	558000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		3250	4523	1271000
Col 359 Sector AE-N b9-1	Yuri Grom	EXPLOITED		0	24939	0
Col 359 Sector YI-N b9-5	Yuri Grom	EXPLOITED		568	179	65000
Col 359 Sector NR-T c4-13	Aisling Duval	Yuri Grom		2443	16218	
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		1719	4442	108000
Col 359 Sector AE-N b9-0	Yuri Grom	STRONGHOLD		3603	4041	1093000
Col 359 Sector AE-N b9-3	Yuri Grom	EXPLOITED		8	72	22000
