43 minutes ago
System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		29281	5646	1394000
Col 359 Sector RX-R c5-3	Pranav Antal	STRONGHOLD		348	99	1177000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		2032	871	529000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		7834	4648	515000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		0	616	424000
Col 359 Sector QX-R c5-7	Pranav Antal	EXPLOITED		4758	53862	147000
Col 359 Sector QX-R c5-8	Pranav Antal	FORTIFIED		5003	2804	460000
Col 359 Sector QX-R c5-10	Pranav Antal	EXPLOITED		51936	218966	258000
Col 359 Sector QX-R c5-13	Pranav Antal				1861	
Col 359 Sector RX-R c5-16	Pranav Antal	EXPLOITED		7762	58091	80000
Col 359 Sector RX-R c5-1	Denton Patreus	STRONGHOLD		31833	56328	1305000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		135	406	428000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		100649	34497	1700000
Col 359 Sector CE-N b9-1	Aisling Duval	FORTIFIED		50748	15436	800000
Col 359 Sector KW-V d2-20	Aisling Duval	FORTIFIED		103	8510	366000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		0	0	76000
Col 359 Sector KW-V d2-16	Yuri Grom	EXPLOITED		363	19498	34000
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		45	4835	489000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		6350	6606	164000
Col 359 Sector YI-N b9-4	Yuri Grom	EXPLOITED		0	15	10000
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		156250	22905	1994000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		1093	5502	522000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		4	319	76000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		0	0	22000
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	FORTIFIED		113	9882	504000
Col 359 Sector FK-L b10-4	Arissa Lavigny-Duval	Nakato Kaine		76436	166577	
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		3912	2995	540000
Col 359 Sector FK-L b10-1	Denton Patreus	FORTIFIED		4278	17299	388000
Col 359 Sector FK-L b10-3	Aisling Duval	EXPLOITED		9258	60809	78000
Col 359 Sector FK-L b10-0	Nakato Kaine	EXPLOITED		23344	64891	234000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		158	430	36000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		1496	2197	104000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		10176	7703	209000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		146	1765	76000
Col 359 Sector DP-L b10-3	Aisling Duval	Pranav Antal		936	11645	
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		150	4169	1166000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		1541	3419	10000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		1050	1941	12000
Col 359 Sector KW-V d2-17	Yuri Grom	EXPLOITED		9309	43497	162000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	FORTIFIED		106	2657	471000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		14180	32711	226000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		6987	5668	558000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		3250	1134	1271000
Col 359 Sector AE-N b9-1	Yuri Grom	EXPLOITED		0	13595	0
Col 359 Sector YI-N b9-5	Yuri Grom	EXPLOITED		0	0	65000
Col 359 Sector NR-T c4-13	Aisling Duval	Pranav Antal		1001	18294	
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		1625	2638	108000
Col 359 Sector AE-N b9-0	Yuri Grom	STRONGHOLD		2068	2554	1093000
Col 359 Sector AE-N b9-3	Yuri Grom	EXPLOITED		0	0	22000
