2026-04-09 05:59 UTC
System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		8057	11505	1293000
Col 359 Sector RX-R c5-3	Pranav Antal	STRONGHOLD		11	695	1204000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		17	140	515000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		9121	2814	569000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		285	273	482000
Col 359 Sector QX-R c5-7	Pranav Antal	FORTIFIED		7797	39	562000
Col 359 Sector QX-R c5-8	Pranav Antal	FORTIFIED		7363	2736	558000
Col 359 Sector QX-R c5-10	Pranav Antal	FORTIFIED		59	123	496000
Col 359 Sector QX-R c5-13	Pranav Antal	FORTIFIED		123	2953	482000
Col 359 Sector RX-R c5-16	Pranav Antal	FORTIFIED		861	558	446000
Col 359 Sector NR-T c4-13	Pranav Antal	FORTIFIED		1033	846	468000
Col 359 Sector DP-L b10-3	Pranav Antal	FORTIFIED		1046	5401	478000
Col 359 Sector ZI-N b9-1	Pranav Antal	STRONGHOLD		12581	24728	1149000
Col 359 Sector RX-R c5-1	Denton Patreus	STRONGHOLD		1305	2979	1221000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		414	330	449000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		35041	23054	1427000
Col 359 Sector CE-N b9-1	Aisling Duval	STRONGHOLD		48	2902	1093000
Col 359 Sector KW-V d2-20	Aisling Duval	FORTIFIED		1441	29241	464000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		67	0	69000
Col 359 Sector KW-V d2-16	Yuri Grom	FORTIFIED		895	1418	402000
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		3855	8505	536000
Col 359 Sector BE-N b9-4	Aisling Duval	FORTIFIED		1095	21024	366000
Col 359 Sector YI-N b9-4	Yuri Grom	EXPLOITED		4234	7042	139000
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		12571	23445	1310000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		2491	3029	529000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		10475	5933	215000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		1375	676	106000
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	STRONGHOLD		715	3621	1132000
Col 359 Sector FK-L b10-4	Nakato Kaine	EXPLOITED		3934	2592	90000
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		1009	20797	496000
Col 359 Sector FK-L b10-1	Yuri Grom	EXPLOITED		1396	2618	47000
Col 359 Sector FK-L b10-3	Aisling Duval	FORTIFIED		54935	24892	471000
Col 359 Sector FK-L b10-0	Nakato Kaine	FORTIFIED		944	472	395000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		3007	37	121000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	FORTIFIED		543	465	471000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		2198	1068	111000
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		0	18612	1210000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		41435	37242	30000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		13509	900	86000
Col 359 Sector KW-V d2-17	Yuri Grom	FORTIFIED		173	3177	431000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	FORTIFIED		792	5948	515000
Col 359 Sector BE-N b9-1	Aisling Duval	FORTIFIED		576	6221	377000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		45624	8947	782000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		11839	1286	1316000
Col 359 Sector AE-N b9-1	Yuri Grom	FORTIFIED		42	2223	439000
Col 359 Sector YI-N b9-5	Yuri Grom	FORTIFIED		64	1429	475000
Col 359 Sector NR-T c4-14	Aisling Duval	FORTIFIED		1841	7255	381000
Col 359 Sector AE-N b9-0	Yuri Grom	STRONGHOLD		5	1262	1255000
Col 359 Sector AE-N b9-3	Yuri Grom	FORTIFIED		8	1593	478000
