103 minutes ago
System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		29281	10732	1394000
Col 359 Sector RX-R c5-3	Pranav Antal	STRONGHOLD		734	997	1177000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		2032	5172	529000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		28125	24341	515000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		136	2370	424000
Col 359 Sector QX-R c5-7	Pranav Antal	EXPLOITED		4758	223700	147000
Col 359 Sector QX-R c5-8	Pranav Antal	FORTIFIED		15247	39714	460000
Col 359 Sector QX-R c5-10	Pranav Antal	EXPLOITED		59906	221038	258000
Col 359 Sector QX-R c5-13	Pranav Antal				4423	
Col 359 Sector RX-R c5-16	Pranav Antal	EXPLOITED		17800	109272	80000
Col 359 Sector RX-R c5-1	Denton Patreus	STRONGHOLD		51577	71598	1305000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		136	4293	428000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		126917	113701	1700000
Col 359 Sector CE-N b9-1	Aisling Duval	FORTIFIED		51028	94572	800000
Col 359 Sector KW-V d2-20	Aisling Duval	FORTIFIED		103	17002	366000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		1843	281	76000
Col 359 Sector KW-V d2-16	Yuri Grom	EXPLOITED		1573	22055	34000
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		1316	5944	489000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		6875	15917	164000
Col 359 Sector YI-N b9-4	Yuri Grom	EXPLOITED		0	601	10000
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		156250	46490	1994000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		1153	7910	522000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		1	11664	76000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		612	1765	22000
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	FORTIFIED		1797	18667	504000
Col 359 Sector FK-L b10-4	Arissa Lavigny-Duval	Nakato Kaine		124211	240231	
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		3921	12004	540000
Col 359 Sector FK-L b10-1	Denton Patreus	FORTIFIED		16709	58070	388000
Col 359 Sector FK-L b10-3	Aisling Duval	EXPLOITED		11959	131522	78000
Col 359 Sector FK-L b10-0	Nakato Kaine	EXPLOITED		41963	122031	234000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		317	1757	36000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		1496	2780	104000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		10176	17614	209000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		146	3348	76000
Col 359 Sector DP-L b10-3	Aisling Duval	Nakato Kaine		1027	12975	
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		150	7362	1166000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		6745	4814	10000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		1050	1941	12000
Col 359 Sector KW-V d2-17	Yuri Grom	EXPLOITED		17222	167571	162000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	FORTIFIED		543	8973	471000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		31077	34586	226000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		6996	9124	558000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		3250	7657	1271000
Col 359 Sector AE-N b9-1	Yuri Grom	EXPLOITED		0	26814	0
Col 359 Sector YI-N b9-5	Yuri Grom	EXPLOITED		568	2297	65000
Col 359 Sector NR-T c4-13	Aisling Duval	Yuri Grom		3568	17401	
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		1986	4478	108000
Col 359 Sector AE-N b9-0	Yuri Grom	STRONGHOLD		13823	7482	1093000
Col 359 Sector AE-N b9-3	Yuri Grom	EXPLOITED		8	72	22000
