2026-02-02 04:59 UTC
System Name	Power	State		Undermining	Reinforcement	Initial CP
Col 359 Sector EK-L b10-4	Pranav Antal	STRONGHOLD		35812	30043	1410000
Col 359 Sector RX-R c5-3	Pranav Antal	STRONGHOLD		11296	12553	1182000
Col 359 Sector QX-R c5-11	Pranav Antal	FORTIFIED		4504	21791	543000
Col 359 Sector QX-R c5-12	Pranav Antal	FORTIFIED		28863	34525	684000
Col 359 Sector RX-R c5-17	Pranav Antal	FORTIFIED		0	4638	428000
Col 359 Sector QX-R c5-7	Pranav Antal	FORTIFIED		0	30527	384000
Col 359 Sector QX-R c5-8	Pranav Antal	FORTIFIED		69573	106493	486000
Col 359 Sector QX-R c5-10	Pranav Antal	FORTIFIED		10	16532	395000
Col 359 Sector QX-R c5-13	Pranav Antal	FORTIFIED		394	64306	370000
Col 359 Sector RX-R c5-16	Pranav Antal	FORTIFIED		2615	16027	366000
Col 359 Sector NR-T c4-13	Pranav Antal	EXPLOITED		35427	94340	330000
Col 359 Sector DP-L b10-3	Pranav Antal	FORTIFIED		296	23745	392000
Col 359 Sector RX-R c5-1	Denton Patreus	STRONGHOLD		360128	121494	1338000
Col 359 Sector AE-N b9-5	Nakato Kaine	FORTIFIED		456	7945	457000
Col 359 Sector CE-N b9-2	Aisling Duval	STRONGHOLD		147866	194531	1844000
Col 359 Sector CE-N b9-1	Aisling Duval	STRONGHOLD		114	17574	1054000
Col 359 Sector KW-V d2-20	Aisling Duval	FORTIFIED		5407	9086	431000
Col 359 Sector RX-R c5-15	Nakato Kaine	EXPLOITED		516	1395	65000
Col 359 Sector KW-V d2-16	Yuri Grom	EXPLOITED		1580	301255	100000
Col 359 Sector BE-N b9-2	Aisling Duval	FORTIFIED		0	5005	504000
Col 359 Sector BE-N b9-4	Aisling Duval	EXPLOITED		12617	34654	238000
Col 359 Sector YI-N b9-4	Yuri Grom	EXPLOITED		923	138637	32000
Col 359 Sector AJ-N b9-3	Arissa Lavigny-Duval	STRONGHOLD		153250	52080	1994000
Col 359 Sector NR-T c4-15	Arissa Lavigny-Duval	FORTIFIED		4117	7140	540000
Col 359 Sector NR-T c4-17	Arissa Lavigny-Duval	EXPLOITED		910	8511	96000
Col 359 Sector AE-N b9-4	Yuri Grom	EXPLOITED		0	52632	59000
Col 359 Sector RX-R c5-2	Arissa Lavigny-Duval	FORTIFIED		25643	63743	637000
Col 359 Sector FK-L b10-4	Nakato Kaine	EXPLOITED		77846	162224	90000
Col 359 Sector MR-T c4-8	Edmund Mahon	FORTIFIED		74252	72311	637000
Col 359 Sector FK-L b10-1	Denton Patreus	FORTIFIED		8100	15831	442000
Col 359 Sector FK-L b10-3	Aisling Duval	FORTIFIED		10804	31094	395000
Col 359 Sector FK-L b10-0	Nakato Kaine	FORTIFIED		28495	34676	370000
Col 359 Sector RX-R c5-0	Nakato Kaine	EXPLOITED		58200	46443	47000
Col 359 Sector ZI-N b9-1	Arissa Lavigny-Duval	EXPLOITED		16011	23629	108000
Col 359 Sector ZI-N b9-2	Arissa Lavigny-Duval	EXPLOITED		12368	16801	234000
Col 359 Sector AJ-N b9-4	Arissa Lavigny-Duval	EXPLOITED		190	13724	82000
Col 359 Sector FK-L b10-5	Nakato Kaine	STRONGHOLD		25348	46519	1143000
Col 359 Sector FK-L b10-2	Nakato Kaine	EXPLOITED		41664	62534	30000
Col 359 Sector RX-R c5-4	Nakato Kaine	EXPLOITED		341	2155	39000
Col 359 Sector KW-V d2-17	Yuri Grom	FORTIFIED		0	1232	421000
Col 359 Sector BE-N b9-0	Arissa Lavigny-Duval	FORTIFIED		986	4495	489000
Col 359 Sector BE-N b9-1	Aisling Duval	EXPLOITED		69288	80081	269000
Col 359 Sector BE-N b9-3	Yuri Grom	FORTIFIED		17055	22338	587000
Col 359 Sector ZI-N b9-3	Yuri Grom	STRONGHOLD		8123	136563	1293000
Col 359 Sector AE-N b9-1	Yuri Grom	EXPLOITED		0	385183	43000
Col 359 Sector YI-N b9-5	Yuri Grom	FORTIFIED		45	107924	363000
Col 359 Sector NR-T c4-14	Aisling Duval	EXPLOITED		2644	35483	119000
Col 359 Sector AE-N b9-0	Yuri Grom	STRONGHOLD		10575	85085	1166000
Col 359 Sector AE-N b9-3	Yuri Grom	EXPLOITED		8486	383667	100000
